date,product_id,actual_sales,predicted_sales
2009-12-01,22086,1327.3700000000001,923.6374920836324
2009-12-01,47566,27.9,91.5927774005892
2009-12-01,84879,1919.28,489.57930851488226
2009-12-01,85099B,326.85,473.9660173626771
2009-12-01,85123A,702.4200000000001,1193.3657519187507
2009-12-01,DOT,1403.6200000000001,1879.0006250250244
2009-12-01,M,4.0,1227.435267718207
2009-12-01,POST,505.0,393.1963841808939
2009-12-02,22086,2852.26,869.0919693028846
2009-12-02,47566,45.85,7.615900702152956
2009-12-02,84879,253.19,445.4341699100325
2009-12-02,85099B,431.7,438.0309813413543
2009-12-02,85123A,1953.9900000000002,1052.777800223077
2009-12-02,DOT,1245.48,1909.718163383522
2009-12-02,POST,54.0,317.2681144766959
2009-12-03,22086,690.88,817.2308543833
2009-12-03,84879,488.88,567.5562446103339
2009-12-03,85099B,281.2,475.2647062103396
2009-12-03,85123A,988.4300000000001,1186.613015381275
2009-12-03,DOT,862.67,1895.0816453199286
2009-12-04,22086,434.22,785.3267739668265
2009-12-04,47566,69.75,-7.631817834729219
2009-12-04,84879,397.62,385.55007529712725
2009-12-04,85099B,1006.4,348.80294062121754
2009-12-04,85123A,489.65000000000003,939.2647520998287
2009-12-04,DOT,922.05,1945.954199627432
2009-12-04,M,1.06,921.9604895117693
2009-12-04,POST,310.0,329.5745513049981
2009-12-05,22086,35.400000000000006,-103.97911898379328
2009-12-05,84879,40.56,64.71491395565374
2009-12-05,85099B,78.0,37.18942699613419
2009-12-05,85123A,249.6,155.39951760660205
2009-12-06,22086,264.25,517.5573404279919
2009-12-06,47566,74.4,-156.68948623000682
2009-12-06,84879,60.839999999999996,298.22199220589624
2009-12-06,85099B,35.1,150.42223573050902
2009-12-06,85123A,558.1,880.6556072079031
2009-12-06,POST,138.0,172.78297578830535
2009-12-07,22086,589.85,1084.1062754293969
2009-12-07,47566,4.65,-1.0169436267590015
2009-12-07,84879,175.76,352.0112995839502
2009-12-07,85099B,53.85,353.2027872715761
2009-12-07,85123A,1121.95,1037.6354934969536
2009-12-07,DOT,1492.74,2394.415125790503
2009-12-07,POST,366.0,242.14522710017644
2009-12-08,22086,326.88000000000005,715.8699447105039
2009-12-08,47566,69.75,83.70831497202586
2009-12-08,84879,368.41999999999996,397.6906228319316
2009-12-08,85099B,494.6,389.70331104978436
2009-12-08,85123A,4166.55,1092.8231428895358
2009-12-08,DOT,560.87,2212.996625795525
2009-12-08,M,44.65,1117.5483605854902
2009-12-08,POST,111.0,325.66096981437454
2009-12-09,22086,207.61,660.3840531755146
2009-12-09,47566,8.65,-1.354709218169603
2009-12-09,84879,92.64,354.78736594505847
2009-12-09,85099B,173.6,356.23895927719394
2009-12-09,85123A,692.3199999999999,922.3652998325817
2009-12-09,DOT,1143.35,2152.703976313699
2009-12-09,POST,252.0,243.49782884008624
2009-12-10,22086,200.19,606.5553225236642
2009-12-10,47566,8.65,-35.36662283268777
2009-12-10,84879,634.4399999999999,478.0698977643116
2009-12-10,85099B,628.2,396.4354026153316
2009-12-10,85123A,731.92,1027.8886481242985
2009-12-10,DOT,810.57,2043.4535797764356
2009-12-10,M,1213.02,1386.6024866331297
2009-12-11,22086,735.9,571.514571908577
2009-12-11,84879,313.12,297.0843428753346
2009-12-11,85099B,728.25,273.3505758814117
2009-12-11,85123A,617.45,754.4927698593331
2009-12-13,22086,82.60000000000001,293.7666335225499
2009-12-13,47566,4.65,-168.388915026395
2009-12-13,84879,461.84,211.22119763364051
2009-12-13,85099B,27.299999999999997,82.67822927061505
2009-12-13,85123A,1076.6,653.1685198968697
2009-12-13,POST,224.0,84.03510041617851
2009-12-14,22086,1040.42,853.5635088414866
2009-12-14,47566,49.2,-12.8722763366995
2009-12-14,84879,935.58,265.41768987440764
2009-12-14,85099B,312.95,289.6604573188301
2009-12-14,85123A,705.49,794.6031253337576
2009-12-14,DOT,2931.93,2161.9725660649196
2009-12-14,POST,347.0,152.57810888305727
2009-12-15,22086,291.36,477.5825351836077
2009-12-15,47566,4.65,71.94313776812527
2009-12-15,84879,560.33,311.2907067034105
2009-12-15,85099B,1274.7,330.5184170910703
2009-12-15,85123A,956.93,838.7229790820634
2009-12-15,DOT,500.13,1893.1510989667013
2009-12-15,POST,72.0,236.5424757012141
2009-12-16,22086,419.3,413.58186975994784
