epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4472,0.88899,3.31423,1.04458,0.00333,1,0.28082,0.25279,0.47072,3.27318,0.76742,6e-05,6e-05,6e-05
2,73.5463,0.69713,2.88992,0.93657,0.00333,1,0.64292,0.5725,0.51892,3.20443,0.77863,0.00013307,0.00013307,0.00013307
3,109.883,0.6838,1.67603,0.91177,0.00763,0.96875,0.80947,0.70574,0.6036,3.01001,0.80374,0.00019822,0.00019822,0.00019822
4,148.072,0.69553,1.41531,0.94045,0.00333,1,0.76675,0.68741,0.56398,3.05812,0.78761,0.00025545,0.00025545,0.00025545
5,185.525,0.74851,1.5112,0.92641,0.00333,1,0.76549,0.68512,0.49659,3.13787,0.78986,0.00030476,0.00030476,0.00030476
6,221.319,0.64309,1.29444,0.87047,0.00333,1,0.76709,0.69043,0.49124,3.04882,0.77237,0.00034615,0.00034615,0.00034615
7,256.253,0.64269,1.2921,0.88667,0.00807,0.76562,0.76729,0.68015,0.53337,2.97839,0.7819,0.00037962,0.00037962,0.00037962
8,291.837,0.61555,1.13669,0.89165,1,0.26276,0.77291,0.70188,0.47382,2.91021,0.75871,0.00040517,0.00040517,0.00040517
9,326.435,0.59385,1.12803,0.86548,1,0.32456,0.91016,0.81812,0.46198,2.84631,0.7468,0.0004228,0.0004228,0.0004228
10,361.088,0.5739,1.088,0.90451,1,0.40919,0.94284,0.84685,0.45696,2.80592,0.74398,0.00043251,0.00043251,0.00043251
11,398.104,0.49194,1.39368,0.83836,1,0.33651,0.90986,0.8153,0.43794,2.82048,0.74628,0.0004343,0.0004343,0.0004343
12,433.027,0.46884,1.33835,0.83113,1,0.36748,0.91098,0.8231,0.43319,2.8091,0.75147,0.00042817,0.00042817,0.00042817
13,467.24,0.48323,1.2704,0.85556,1,0.45921,0.96738,0.88493,0.43945,2.63204,0.75742,0.00041412,0.00041412,0.00041412
14,501.81,0.4976,1.32802,0.82256,1,0.48436,0.99366,0.91133,0.44894,2.52621,0.75208,0.00039215,0.00039215,0.00039215
15,538.314,0.48377,1.2179,0.83074,1,0.53806,0.995,0.9066,0.44632,2.40201,0.75112,0.00036226,0.00036226,0.00036226
16,573.741,0.48262,1.27112,0.83187,1,0.5678,0.995,0.90782,0.44079,2.33628,0.75155,0.00032445,0.00032445,0.00032445
17,610.483,0.44299,1.22275,0.8128,1,0.63608,0.995,0.92217,0.42462,2.25178,0.74613,0.00027872,0.00027872,0.00027872
18,644.752,0.43853,1.22038,0.80075,1,0.95317,0.995,0.92944,0.4048,2.02442,0.73798,0.00022507,0.00022507,0.00022507
19,679.794,0.42252,1.13057,0.79537,1,0.97395,0.995,0.93013,0.39028,1.90511,0.7367,0.0001635,0.0001635,0.0001635
20,716.111,0.40677,1.10757,0.81025,1,0.97982,0.995,0.9327,0.37428,1.80698,0.73573,9.401e-05,9.401e-05,9.401e-05
